TAZ,id,Saudi_Male,Saudi_Fema,Total_Saud,Non_Saudi,Non_Saud_1,Total_Non_,Total_Pop,Area,sergios_data_TAZ_1,sergios_data_Saudi_Male,sergios_data_Saudi_Fema,sergios_data_Total_Saud,sergios_data_Non_Saudi,sergios_data_Non_Saud_1,sergios_data_Total_Non_,sergios_data_Total_Pop,sergios_data_Area,sergios_data_Perc,sergios_data_TAZ_12,sergios_data_Saudi_Ma_1,sergios_data_Saudi_Fe_1,sergios_data_Total_Sa_1,sergios_data_Non_Saudi_,sergios_data_Non_Saudi1,sergios_data_Total_Non1,sergios_data_Total_Po_1,sergios_data_Perc_Cont,sergios_data_Perc_Cat
174,174,330,330,660,874,544,1418,2078,,174,330,330,660,874,544,1418,2078,0,0.68,174,330,330,660,874,544,1418,2078,0.682387,4
177,177,115,115,230,529,330,859,1089,,177,115,115,230,529,330,859,1089,0,0.79,177,115,115,230,529,330,859,1089,0.788797,4
1096,1096,73,73,146,84,52,136,282,,1096,73,73,146,84,52,136,282,0,0.48,1096,73,73,146,84,52,136,282,0.48227,3
180,180,244,255,499,627,439,1066,1565,,180,244,255,499,627,439,1066,1565,0,0.68,180,244,255,499,627,439,1066,1565,0.68115,4
183,183,81,61,142,581,406,987,1129,,183,81,61,142,581,406,987,1129,0,0.87,183,81,61,142,581,406,987,1129,0.874225,5
184,184,0,0,0,7,5,12,12,,184,0,0,0,7,5,12,12,0,1,184,0,0,0,7,5,12,12,1,5
185,185,22,17,39,445,310,755,794,,185,22,17,39,445,310,755,794,0,0.95,185,22,17,39,445,310,755,794,0.950882,5
186,186,10,7,17,132,92,224,241,,186,10,7,17,132,92,224,241,0,0.93,186,10,7,17,132,92,224,241,0.929461,5
187,187,668,668,1336,1228,1412,2640,3976,,187,668,668,1336,1228,1412,2640,3976,0,0.66,187,668,668,1336,1228,1412,2640,3976,0.663984,4
188,188,66,66,132,119,137,256,388,,188,66,66,132,119,137,256,388,0,0.66,188,66,66,132,119,137,256,388,0.659794,4
189,189,770,770,1540,305,351,656,2196,,189,770,770,1540,305,351,656,2196,0,0.3,189,770,770,1540,305,351,656,2196,0.298725,2
190,190,168,168,336,194,223,417,753,,190,168,168,336,194,223,417,753,0,0.55,190,168,168,336,194,223,417,753,0.553785,3
191,191,785,706,1491,1104,1020,2124,3615,,191,785,706,1491,1104,1020,2124,3615,0,0.59,191,785,706,1491,1104,1020,2124,3615,0.587552,3
192,192,701,701,1402,571,656,1227,2629,,192,701,701,1402,571,656,1227,2629,0,0.47,192,701,701,1402,571,656,1227,2629,0.466717,3
193,193,73,73,146,155,179,334,480,,193,73,73,146,155,179,334,480,0,0.7,193,73,73,146,155,179,334,480,0.695833,4
194,194,729,655,1384,400,370,770,2154,,194,729,655,1384,400,370,770,2154,0,0.36,194,729,655,1384,400,370,770,2154,0.357474,2
1029,1029,243,196,439,76,90,166,605,,1029,243,196,439,76,90,166,605,0,0.27,1029,243,196,439,76,90,166,605,0.27438,2
196,196,91,63,154,1652,1258,2910,3064,,196,91,63,154,1652,1258,2910,3064,0,0.95,196,91,63,154,1652,1258,2910,3064,0.949739,5
197,197,185,129,314,1625,1237,2862,3176,,197,185,129,314,1625,1237,2862,3176,0,0.9,197,185,129,314,1625,1237,2862,3176,0.901134,5
198,198,92,64,156,1516,1154,2670,2826,,198,92,64,156,1516,1154,2670,2826,0,0.94,198,92,64,156,1516,1154,2670,2826,0.944798,5
199,199,204,142,346,3116,2373,5489,5835,,199,204,142,346,3116,2373,5489,5835,0,0.94,199,204,142,346,3116,2373,5489,5835,0.940703,5
200,200,177,205,382,3360,1050,4410,4792,,200,177,205,382,3360,1050,4410,4792,0,0.92,200,177,205,382,3360,1050,4410,4792,0.920284,5
202,202,220,254,474,4292,1340,5632,6106,,202,220,254,474,4292,1340,5632,6106,0,0.92,202,220,254,474,4292,1340,5632,6106,0.922371,5
204,204,405,468,873,7868,2458,10326,11199,,204,405,468,873,7868,2458,10326,11199,0,0.92,204,405,468,873,7868,2458,10326,11199,0.922047,5
205,205,658,585,1243,3142,1391,4533,5776,,205,658,585,1243,3142,1391,4533,5776,0,0.78,205,658,585,1243,3142,1391,4533,5776,0.784799,4
1264,1264,272,242,514,1333,591,1924,2438,,1264,272,242,514,1333,591,1924,2438,0,0.79,1264,272,242,514,1333,591,1924,2438,0.789171,4
207,207,518,460,978,2512,1112,3624,4602,,207,518,460,978,2512,1112,3624,4602,0,0.79,207,518,460,978,2512,1112,3624,4602,0.787484,4
208,208,1308,1163,2471,6428,2846,9274,11745,,208,1308,1163,2471,6428,2846,9274,11745,0,0.79,208,1308,1163,2471,6428,2846,9274,11745,0.789613,4
1240,1240,493,438,931,2460,1089,3549,4480,,1240,493,438,931,2460,1089,3549,4480,0,0.79,1240,493,438,931,2460,1089,3549,4480,0.792188,4
